source,model_kind,modality,model_family,name,partition,scope,scope_type,comparable_scope,groups,variant_type,n,acc,macro_f1,macro_recall,macro_precision,weighted_f1,variant_precision,variant_recall,variant_specificity,variant_balanced_acc,variant_f1,variant_f2,variant_tp,variant_tn,variant_fp,variant_fn,binary_acc,binary_balanced_acc,binary_precision,binary_recall,binary_specificity,binary_f1,binary_f2
teacher,teacher,ont,,dv_ont,test,variant_INDEL,variant_type,variant_INDEL,ALL,INDEL,278374,0.9974063669739271,0.9741400571032909,0.9599821489016868,0.9903833246537177,0.9973370575894406,0.9975458918229114,0.9453023255813952,0.9999065853585628,0.972604455469979,0.9707216888756524,0.9553086280480134,10162,267599,25,588,0.9977979265304949,0.972604455469979,0.9975458918229114,0.9453023255813952,0.9999065853585628,0.9707216888756524,0.9553086280480134
checkpoint,unimodal,illumina,,unimodal_illumina,test,illumina_view,view,illumina_view,"10,11",ALL,260005,0.9973577431203247,0.9973264390936191,0.9976549650967527,0.9970033941766903,0.9973597549692073,0.9963962662428868,0.9988815847702421,0.9966917669942972,0.9977866758822697,0.997637377649414,0.9983835296954047,124144,135273,449,139,0.9977385050287495,0.9977866758822697,0.9963962662428868,0.9988815847702421,0.9966917669942972,0.997637377649414,0.9983835296954047
checkpoint,unimodal,illumina,,unimodal_illumina,test,illumina_view_SNP,view_variant_type,illumina_view_SNP,"10,11",SNP,242328,0.9974662440989073,0.9974210791214905,0.9977732521293466,0.9970740463963873,0.9974681757747743,0.9963628259416091,0.9988471437763637,0.9968719332679097,0.9978595385221367,0.997603438195429,0.9983492896047903,111767,130024,408,129,0.9977839952461127,0.9978595385221367,0.9963628259416091,0.9988471437763637,0.9968719332679097,0.997603438195429,0.9983492896047903
checkpoint,unimodal,illumina,,unimodal_illumina,test,illumina_view_INDEL,view_variant_type,illumina_view_INDEL,"10,11",INDEL,17677,0.9958703399898172,0.9959197498804014,0.9956773004752355,0.9961751244520262,0.9958718949659064,0.9966983411177321,0.9991927020263177,0.9922495274102078,0.9957211147182627,0.9979439629102033,0.9986928315525864,12377,5249,41,10,0.9971148950613792,0.9957211147182627,0.9966983411177321,0.9991927020263177,0.9922495274102078,0.9979439629102033,0.9986928315525864
checkpoint,unimodal,illumina,,unimodal_illumina,test,group_10,group,group_10,10,ALL,137519,0.9969167896799715,0.9487428555996186,0.9938281420253964,0.9147929983141617,0.9971270521064919,0.8399528116397952,0.9962686567164175,0.9969935364727609,0.9966310965945893,0.9114572221031944,0.9605180321969191,2136,134968,407,8,0.9969822351820475,0.9966310965945893,0.8399528116397952,0.9962686567164175,0.9969935364727609,0.9114572221031944,0.9605180321969191
checkpoint,unimodal,illumina,,unimodal_illumina,test,group_11,group,group_11,11,ALL,122486,0.9978528158320135,0.9254276555112891,0.958480809808345,0.8991726940912699,0.9979326062949501,0.999655878738222,0.9989274515101646,0.8789625360230522,0.9389449937666083,0.9992915323781083,0.9990730520169764,122008,305,42,131,0.9985875936841762,0.9389449937666083,0.999655878738222,0.9989274515101646,0.8789625360230522,0.9992915323781083,0.9990730520169764
checkpoint,unimodal,illumina,,unimodal_illumina,test,variant_SNP,variant_type,variant_SNP,ALL,SNP,242328,0.9974662440989073,0.9974210791214905,0.9977732521293466,0.9970740463963873,0.9974681757747743,0.9963628259416091,0.9988471437763637,0.9968719332679097,0.9978595385221367,0.997603438195429,0.9983492896047903,111767,130024,408,129,0.9977839952461127,0.9978595385221367,0.9963628259416091,0.9988471437763637,0.9968719332679097,0.997603438195429,0.9983492896047903
checkpoint,unimodal,illumina,,unimodal_illumina,test,variant_INDEL,variant_type,variant_INDEL,ALL,INDEL,17677,0.9958703399898172,0.9959197498804014,0.9956773004752355,0.9961751244520262,0.9958718949659064,0.9966983411177321,0.9991927020263177,0.9922495274102078,0.9957211147182627,0.9979439629102033,0.9986928315525864,12377,5249,41,10,0.9971148950613792,0.9957211147182627,0.9966983411177321,0.9991927020263177,0.9922495274102078,0.9979439629102033,0.9986928315525864
checkpoint,unimodal,ont,,unimodal_ont,test,ont_view,view,ont_view,"1,11",ALL,401059,0.9978058091203539,0.9969976977014806,0.9963394608224857,0.9976626759254071,0.9978032137957413,0.9984809134120645,0.9953998094788351,0.9993315075582775,0.9973656585185563,0.9969379808608612,0.9960145081027649,122256,278052,186,565,0.9981274575561202,0.9973656585185563,0.9984809134120645,0.9953998094788351,0.9993315075582775,0.9969379808608612,0.9960145081027649
checkpoint,unimodal,ont,,unimodal_ont,test,ont_view_SNP,view_variant_type,ont_view_SNP,"1,11",SNP,122685,0.997888902473815,0.9958000667636417,0.9950803736855072,0.9965246286685169,0.9978869061514108,0.9987960188356164,0.9993040126348476,0.9872809496890897,0.9932924811619687,0.999049951158961,0.9992023725400025,111993,10479,135,78,0.9982638464359946,0.9932924811619687,0.9987960188356164,0.9993040126348476,0.9872809496890897,0.999049951158961,0.9992023725400025
