source_csv,source,model_kind,modality,model_family,name,partition,scope,scope_type,comparable_scope,groups,variant_type,n,acc,macro_f1,macro_recall,macro_precision,weighted_f1,variant_precision,variant_recall,variant_specificity,variant_balanced_acc,variant_f1,variant_f2,variant_tp,variant_tn,variant_fp,variant_fn,binary_acc,binary_balanced_acc,binary_precision,binary_recall,binary_specificity,binary_f1,binary_f2
dv_ont.csv,teacher,teacher,ont,,dv_ont,test,group_11,group,group_11,11,ALL,122478,0.9978526755825536,0.8893970282985184,0.995906907264162,0.8352774806259466,0.9981590844169116,0.9999836079009916,0.9981102594098448,0.9916317991631758,0.9948710292865102,0.9990460554592973,0.9984843673786724,122008,237,2,231,0.9980976175313118,0.9948710292865102,0.9999836079009916,0.9981102594098448,0.9916317991631758,0.9990460554592973,0.9984843673786724
dv_ont.csv,teacher,teacher,ont,,dv_ont,test,variant_SNP,variant_type,variant_SNP,ALL,SNP,114214,0.998397744584727,0.9865143122432009,0.9898827859766816,0.983219825578613,0.9984047413123672,0.9995008467777876,0.9991179064980888,0.9717314487632503,0.9854246776306697,0.9993093399512876,0.9991944710773908,112134,1925,56,99,0.9986428984187578,0.9854246776306697,0.9995008467777876,0.9991179064980888,0.9717314487632503,0.9993093399512876,0.9991944710773908
dv_ont.csv,teacher,teacher,ont,,dv_ont,test,variant_INDEL,variant_type,variant_INDEL,ALL,INDEL,295139,0.9982076242041884,0.9829844819089818,0.9701439056926164,0.9970117658075206,0.9981711638666744,0.9991155660377355,0.9537523452157596,0.9999683632183748,0.9768603542170672,0.9759070838927616,0.9624924265372184,10167,284470,9,493,0.9982991065226892,0.9768603542170672,0.9991155660377355,0.9537523452157596,0.9999683632183748,0.9759070838927616,0.9624924265372184
unimodal_illumina.csv,checkpoint,unimodal,illumina,,unimodal_illumina,test,illumina_view,view,illumina_view,"10,11",ALL,183851,0.99908077736863,0.9991075689173072,0.99910247334306,0.9991126705136412,0.9990807839777676,0.9993742278131668,0.9994223363286264,0.9986826772052492,0.9990525067669378,0.9993982814914408,0.9994127142547974,124568,59133,78,72,0.9991841219248196,0.9990525067669378,0.9993742278131668,0.9994223363286264,0.9986826772052492,0.9993982814914408,0.9994127142547974
unimodal_illumina.csv,checkpoint,unimodal,illumina,,unimodal_illumina,test,illumina_view_SNP,view_variant_type,illumina_view_SNP,"10,11",SNP,168004,0.9991250208328372,0.9991590800613128,0.9991521565862794,0.999166013513456,0.9991250404000324,0.9994112662236296,0.9994380118106724,0.998819362455726,0.9991286871331992,0.9994246388377164,0.9994326625785448,112039,55836,66,63,0.9992321611390204,0.9991286871331992,0.9994112662236296,0.9994380118106724,0.998819362455726,0.9994246388377164,0.9994326625785448
unimodal_illumina.csv,checkpoint,unimodal,illumina,,unimodal_illumina,test,illumina_view_INDEL,view_variant_type,illumina_view_INDEL,"10,11",INDEL,15847,0.9986117246166468,0.998349529043262,0.9982895314141016,0.9984097466976845,0.9986114499013812,0.9990431385057011,0.9992821821662146,0.99637352674524,0.9978278544557272,0.9991626460380182,0.9992343642828936,12529,3297,12,9,0.9986748280431628,0.9978278544557272,0.9990431385057011,0.9992821821662146,0.99637352674524,0.9991626460380182,0.9992343642828936
unimodal_illumina.csv,checkpoint,unimodal,illumina,,unimodal_illumina,test,group_10,group,group_10,10,ALL,61373,0.9988594333012888,0.9909528175247908,0.9980983906856712,0.9840412039361962,0.9988688074851249,0.973983739837398,0.9979175343606826,0.9989147391982636,0.998416136779473,0.9858053898369816,0.9930371352783112,2396,58908,64,5,0.9988757271112704,0.998416136779473,0.973983739837398,0.9979175343606826,0.9989147391982636,0.9858053898369816,0.9930371352783112
unimodal_illumina.csv,checkpoint,unimodal,illumina,,unimodal_illumina,test,group_11,group,group_11,11,ALL,122478,0.9991916915690982,0.9488520144135608,0.9800372689844826,0.9233519248328586,0.99922456885721,0.9998854205882834,0.999451893421903,0.9414225941422556,0.9704372437820792,0.9996686100025683,0.9995385687775962,122172,225,14,67,0.999338656738353,0.9704372437820792,0.9998854205882834,0.999451893421903,0.9414225941422556,0.9996686100025683,0.9995385687775962
unimodal_illumina.csv,checkpoint,unimodal,illumina,,unimodal_illumina,test,variant_SNP,variant_type,variant_SNP,ALL,SNP,168004,0.9991250208328372,0.9991590800613128,0.9991521565862794,0.999166013513456,0.9991250404000324,0.9994112662236296,0.9994380118106724,0.998819362455726,0.9991286871331992,0.9994246388377164,0.9994326625785448,112039,55836,66,63,0.9992321611390204,0.9991286871331992,0.9994112662236296,0.9994380118106724,0.998819362455726,0.9994246388377164,0.9994326625785448
unimodal_illumina.csv,checkpoint,unimodal,illumina,,unimodal_illumina,test,variant_INDEL,variant_type,variant_INDEL,ALL,INDEL,15847,0.9986117246166468,0.998349529043262,0.9982895314141016,0.9984097466976845,0.9986114499013812,0.9990431385057011,0.9992821821662146,0.99637352674524,0.9978278544557272,0.9991626460380182,0.9992343642828936,12529,3297,12,9,0.9986748280431628,0.9978278544557272,0.9990431385057011,0.9992821821662146,0.99637352674524,0.9991626460380182,0.9992343642828936
